run_id,fold,fecha_inicio,fecha_fin,num_velas,num_trades,retorno_pct,win_rate,max_drawdown_pct,sharpe_ratio,sl_hits,tp_hits
20260512_195955_RSI_MeanReversion_14_30_70,1,2025-11-18 20:00:00+00:00,2025-12-22 03:00:00+00:00,800,5,8.2299,80.0,-2.4488,0.5437,0,0
20260512_195955_RSI_MeanReversion_14_30_70,2,2025-12-22 04:00:00+00:00,2026-01-24 11:00:00+00:00,800,3,-4.0264,33.33,-0.4453,-0.5441,0,0
20260512_195955_RSI_MeanReversion_14_30_70,3,2026-01-24 12:00:00+00:00,2026-02-26 19:00:00+00:00,800,2,-22.4257,0.0,-22.4257,-0.7075,0,0
20260512_195955_RSI_MeanReversion_14_30_70,4,2026-02-26 20:00:00+00:00,2026-04-01 03:00:00+00:00,800,4,9.4078,50.0,-2.2424,0.4469,0,0
