run_id,fold,fecha_inicio,fecha_fin,num_velas,num_trades,retorno_pct,win_rate,max_drawdown_pct,sharpe_ratio,sl_hits,tp_hits
20260512_195414_EMA_Crossover_9_21,1,2025-11-27 04:00:00+00:00,2026-01-07 19:00:00+00:00,1000,19,-14.1748,15.79,-21.8907,-0.3152,0,0
20260512_195414_EMA_Crossover_9_21,2,2026-01-07 20:00:00+00:00,2026-02-18 11:00:00+00:00,1000,26,-18.5091,15.38,-18.5091,-0.5533,0,0
20260512_195414_EMA_Crossover_9_21,3,2026-02-18 12:00:00+00:00,2026-04-01 03:00:00+00:00,1000,26,-3.2473,26.92,-10.0918,-0.0632,0,0
20260512_195414_EMA_Crossover_9_21,4,2026-04-01 04:00:00+00:00,2026-05-12 19:00:00+00:00,1000,21,0.0612,47.62,-4.4583,0.0086,0,0
